sample_id,mission,condition,plant_number,harvest_day,crop,Fe,K,Na,P,S,Zn,Ca,Mg,Mn,Cu,phenolics,anthocyanins,orac,micro_apc,micro_ymc
VEG01A_FLT_1,VEG-01A,Flight,1,33,lettuce,0.174,42.1,1.85,6.12,3.14,0.052,12.4,4.35,0.098,0.01,11.4,1.15,385.0,3.82,1.85
VEG01A_FLT_2,VEG-01A,Flight,2,33,lettuce,0.182,39.8,2.1,5.89,3.28,0.058,13.1,4.62,0.104,0.011,12.1,1.22,410.0,3.95,1.92
VEG01A_FLT_3,VEG-01A,Flight,3,33,lettuce,0.168,44.5,1.72,6.35,2.98,0.049,11.8,4.18,0.092,0.009,10.8,1.08,370.0,3.65,1.74
VEG01A_FLT_4,VEG-01A,Flight,4,33,lettuce,0.179,41.2,1.94,6.04,3.18,0.054,12.6,4.4,0.099,0.01,11.7,1.18,395.0,3.88,1.88
VEG01A_FLT_5,VEG-01A,Flight,5,33,lettuce,0.171,43.0,1.8,6.2,3.05,0.05,12.0,4.25,0.095,0.009,11.1,1.12,380.0,3.75,1.8
VEG01A_FLT_6,VEG-01A,Flight,6,33,lettuce,0.185,38.9,2.22,5.75,3.35,0.061,13.5,4.75,0.108,0.012,12.5,1.28,425.0,4.02,1.98
VEG01A_GRD_1,VEG-01A,Ground,1,33,lettuce,0.17,41.8,1.78,6.25,2.95,0.048,12.1,4.2,0.094,0.01,9.2,1.2,375.0,3.45,1.45
VEG01A_GRD_2,VEG-01A,Ground,2,33,lettuce,0.165,43.2,1.65,6.4,2.82,0.045,11.6,4.05,0.088,0.009,8.8,1.15,360.0,3.32,1.38
VEG01A_GRD_3,VEG-01A,Ground,3,33,lettuce,0.178,40.5,1.9,6.1,3.1,0.052,12.7,4.42,0.1,0.011,9.6,1.25,390.0,3.58,1.52
VEG01A_GRD_4,VEG-01A,Ground,4,33,lettuce,0.172,42.0,1.75,6.3,2.9,0.047,12.2,4.15,0.093,0.01,9.0,1.18,370.0,3.4,1.42
VEG01A_GRD_5,VEG-01A,Ground,5,33,lettuce,0.162,44.0,1.6,6.5,2.75,0.043,11.4,3.98,0.085,0.008,8.5,1.1,350.0,3.25,1.32
VEG01A_GRD_6,VEG-01A,Ground,6,33,lettuce,0.18,39.8,1.98,5.95,3.22,0.055,13.0,4.55,0.105,0.012,10.0,1.3,405.0,3.68,1.6
VEG01B_FLT_1,VEG-01B,Flight,1,33,lettuce,0.188,38.5,4.25,7.85,4.52,0.082,13.2,4.5,0.102,0.011,13.2,1.45,435.0,4.12,2.15
